,Document Title,Authors,Abstract,Article Citation Count,Publication Year,DOI,Terms
50,Combining Structural and Textural Assessments of Volumetric FDG-PET Uptake in NSCLC,E. Wolsztynski; J. O’Sullivan; N. M. Hughes; T. Mou; P. Murphy; F. O’Sullivan; K. O’Regan,"Numerous studies have reported the prognostic utility of texture analyses and the effectiveness of radiomics in PET and PET/CT assessment of nonsmall cell lung cancer (NSCLC). Here we explore the potential, relative to this methodology, of an alternative model-based approach to tumour characterization, which was successfully applied to sarcoma in previous works. The spatial distribution of 3-D FDG-PET uptake is evaluated in the spatial referential determined by the best-fitting ellipsoidal pattern, which provides a univariate uptake profile function of the radial position of intratumoral voxels. A group of structural features is extracted from this fit that include two heterogeneity variables and statistical summaries of local metabolic gradients. We demonstrate that these variables capture aspects of tumour metabolism that are separate to those described by conventional texture features. Prognostic model selection is performed in terms of a number of classifiers, including stepwise selection of logistic models, LASSO, random forests and neural networks with respect to two-year survival status. Our results for a cohort of 93 NSCLC patients show that structural variables have significant prognostic potential, and that they may be used in conjunction with texture features in a traditional radiomics sense, toward improved baseline multivariate models of patient overall survival. The statistical significance of these models also demonstrates the relevance of these machine learning classifiers for prognostic variable selection.",1.0,2019,10.1109/TRPMS.2019.2912433,prognosis
50,Combining Structural and Textural Assessments of Volumetric FDG-PET Uptake in NSCLC,E. Wolsztynski; J. O’Sullivan; N. M. Hughes; T. Mou; P. Murphy; F. O’Sullivan; K. O’Regan,"Numerous studies have reported the prognostic utility of texture analyses and the effectiveness of radiomics in PET and PET/CT assessment of nonsmall cell lung cancer (NSCLC). Here we explore the potential, relative to this methodology, of an alternative model-based approach to tumour characterization, which was successfully applied to sarcoma in previous works. The spatial distribution of 3-D FDG-PET uptake is evaluated in the spatial referential determined by the best-fitting ellipsoidal pattern, which provides a univariate uptake profile function of the radial position of intratumoral voxels. A group of structural features is extracted from this fit that include two heterogeneity variables and statistical summaries of local metabolic gradients. We demonstrate that these variables capture aspects of tumour metabolism that are separate to those described by conventional texture features. Prognostic model selection is performed in terms of a number of classifiers, including stepwise selection of logistic models, LASSO, random forests and neural networks with respect to two-year survival status. Our results for a cohort of 93 NSCLC patients show that structural variables have significant prognostic potential, and that they may be used in conjunction with texture features in a traditional radiomics sense, toward improved baseline multivariate models of patient overall survival. The statistical significance of these models also demonstrates the relevance of these machine learning classifiers for prognostic variable selection.",1.0,2019,10.1109/TRPMS.2019.2912433,texture
50,Combining Structural and Textural Assessments of Volumetric FDG-PET Uptake in NSCLC,E. Wolsztynski; J. O’Sullivan; N. M. Hughes; T. Mou; P. Murphy; F. O’Sullivan; K. O’Regan,"Numerous studies have reported the prognostic utility of texture analyses and the effectiveness of radiomics in PET and PET/CT assessment of nonsmall cell lung cancer (NSCLC). Here we explore the potential, relative to this methodology, of an alternative model-based approach to tumour characterization, which was successfully applied to sarcoma in previous works. The spatial distribution of 3-D FDG-PET uptake is evaluated in the spatial referential determined by the best-fitting ellipsoidal pattern, which provides a univariate uptake profile function of the radial position of intratumoral voxels. A group of structural features is extracted from this fit that include two heterogeneity variables and statistical summaries of local metabolic gradients. We demonstrate that these variables capture aspects of tumour metabolism that are separate to those described by conventional texture features. Prognostic model selection is performed in terms of a number of classifiers, including stepwise selection of logistic models, LASSO, random forests and neural networks with respect to two-year survival status. Our results for a cohort of 93 NSCLC patients show that structural variables have significant prognostic potential, and that they may be used in conjunction with texture features in a traditional radiomics sense, toward improved baseline multivariate models of patient overall survival. The statistical significance of these models also demonstrates the relevance of these machine learning classifiers for prognostic variable selection.",1.0,2019,10.1109/TRPMS.2019.2912433,radiomics
50,Combining Structural and Textural Assessments of Volumetric FDG-PET Uptake in NSCLC,E. Wolsztynski; J. O’Sullivan; N. M. Hughes; T. Mou; P. Murphy; F. O’Sullivan; K. O’Regan,"Numerous studies have reported the prognostic utility of texture analyses and the effectiveness of radiomics in PET and PET/CT assessment of nonsmall cell lung cancer (NSCLC). Here we explore the potential, relative to this methodology, of an alternative model-based approach to tumour characterization, which was successfully applied to sarcoma in previous works. The spatial distribution of 3-D FDG-PET uptake is evaluated in the spatial referential determined by the best-fitting ellipsoidal pattern, which provides a univariate uptake profile function of the radial position of intratumoral voxels. A group of structural features is extracted from this fit that include two heterogeneity variables and statistical summaries of local metabolic gradients. We demonstrate that these variables capture aspects of tumour metabolism that are separate to those described by conventional texture features. Prognostic model selection is performed in terms of a number of classifiers, including stepwise selection of logistic models, LASSO, random forests and neural networks with respect to two-year survival status. Our results for a cohort of 93 NSCLC patients show that structural variables have significant prognostic potential, and that they may be used in conjunction with texture features in a traditional radiomics sense, toward improved baseline multivariate models of patient overall survival. The statistical significance of these models also demonstrates the relevance of these machine learning classifiers for prognostic variable selection.",1.0,2019,10.1109/TRPMS.2019.2912433,tumors
50,Combining Structural and Textural Assessments of Volumetric FDG-PET Uptake in NSCLC,E. Wolsztynski; J. O’Sullivan; N. M. Hughes; T. Mou; P. Murphy; F. O’Sullivan; K. O’Regan,"Numerous studies have reported the prognostic utility of texture analyses and the effectiveness of radiomics in PET and PET/CT assessment of nonsmall cell lung cancer (NSCLC). Here we explore the potential, relative to this methodology, of an alternative model-based approach to tumour characterization, which was successfully applied to sarcoma in previous works. The spatial distribution of 3-D FDG-PET uptake is evaluated in the spatial referential determined by the best-fitting ellipsoidal pattern, which provides a univariate uptake profile function of the radial position of intratumoral voxels. A group of structural features is extracted from this fit that include two heterogeneity variables and statistical summaries of local metabolic gradients. We demonstrate that these variables capture aspects of tumour metabolism that are separate to those described by conventional texture features. Prognostic model selection is performed in terms of a number of classifiers, including stepwise selection of logistic models, LASSO, random forests and neural networks with respect to two-year survival status. Our results for a cohort of 93 NSCLC patients show that structural variables have significant prognostic potential, and that they may be used in conjunction with texture features in a traditional radiomics sense, toward improved baseline multivariate models of patient overall survival. The statistical significance of these models also demonstrates the relevance of these machine learning classifiers for prognostic variable selection.",1.0,2019,10.1109/TRPMS.2019.2912433,nonsmall cell lung cancer (nsclc)
50,Combining Structural and Textural Assessments of Volumetric FDG-PET Uptake in NSCLC,E. Wolsztynski; J. O’Sullivan; N. M. Hughes; T. Mou; P. Murphy; F. O’Sullivan; K. O’Regan,"Numerous studies have reported the prognostic utility of texture analyses and the effectiveness of radiomics in PET and PET/CT assessment of nonsmall cell lung cancer (NSCLC). Here we explore the potential, relative to this methodology, of an alternative model-based approach to tumour characterization, which was successfully applied to sarcoma in previous works. The spatial distribution of 3-D FDG-PET uptake is evaluated in the spatial referential determined by the best-fitting ellipsoidal pattern, which provides a univariate uptake profile function of the radial position of intratumoral voxels. A group of structural features is extracted from this fit that include two heterogeneity variables and statistical summaries of local metabolic gradients. We demonstrate that these variables capture aspects of tumour metabolism that are separate to those described by conventional texture features. Prognostic model selection is performed in terms of a number of classifiers, including stepwise selection of logistic models, LASSO, random forests and neural networks with respect to two-year survival status. Our results for a cohort of 93 NSCLC patients show that structural variables have significant prognostic potential, and that they may be used in conjunction with texture features in a traditional radiomics sense, toward improved baseline multivariate models of patient overall survival. The statistical significance of these models also demonstrates the relevance of these machine learning classifiers for prognostic variable selection.",1.0,2019,10.1109/TRPMS.2019.2912433,spatial modeling
51,Three-dimensional shape completion using deep convolutional neural networks: Application to truncation compensation and metal artifact reduction in PET/MRI attenuation correction,H. Arabi; H. Zaidi,"Accurate attenuation correction (AC) of PET data is a prerequisite for quantitative PET/MR imaging. However, MR images are susceptible to metal artifacts leading to void MR signal around metallic implants. Moreover, for large patients, exceeding the scanner's field-of-view (FOV), MR images of the body will be truncated, mostly in the arms, thus hampering the accurate delineation of the body contour. Both metal-induced artifacts and body truncation affect PET AC by causing segmentation errors in MRI-based attenuation map generation. In this work, a deep learning convolutional neural network-based algorithm is proposed for the completion of MR images affected by body truncation or metal-induced artifacts. The core of the network utilizes dilated convolutions and residual connections to render an end-to-end 3D shape completion. The training of the network was performed using co-registered PET, CT and MR whole-body images of 15 patients. The evaluation of the proposed method was carried out on 10 patients with severe metal-induced artifacts and truncated MR images. Body contours from the corresponding non-attenuation corrected PET (non-AC PET) or CT images were segmented to estimate the amount of truncation in MR images. The estimated truncated volumes were later used as reference to assess the efficiency of the proposed method to recover the truncated or metal artifact affected areas. Moreover, the impact of the truncation compensation and metal-induced artifact reduction was investigated in the context of segmentation-based PET/MRI attenuation correction. The activity recovery in the affected areas was estimated before and after application of the shape completion method. The body truncation affected 11.1±2.3% of the body volume and consequently the MRI segmentation-based attenuation maps of 10 patients. After shape completion using the proposed method, the amount of truncated volume dropped to 0.7±0.2%. The SUV bias in the truncated area improved from -44.5±10% to -10.5±3% considering PET-CT AC as reference. Likewise, 8.5±1.9% of the head volume was affected by the metal-induced artifact leading to SUV bias of -59.5±11%. These were reduced to 0.3±0.1% and -23.5±9%, respectively, after shape completion. It was concluded that the proposed algorithm exhibited promising results towards the completion of MRI affected by truncation and metal-induced artifacts in whole-body PET/MRI.",1.0,2019,10.1109/NSS/MIC42101.2019.9059660,metals
51,Three-dimensional shape completion using deep convolutional neural networks: Application to truncation compensation and metal artifact reduction in PET/MRI attenuation correction,H. Arabi; H. Zaidi,"Accurate attenuation correction (AC) of PET data is a prerequisite for quantitative PET/MR imaging. However, MR images are susceptible to metal artifacts leading to void MR signal around metallic implants. Moreover, for large patients, exceeding the scanner's field-of-view (FOV), MR images of the body will be truncated, mostly in the arms, thus hampering the accurate delineation of the body contour. Both metal-induced artifacts and body truncation affect PET AC by causing segmentation errors in MRI-based attenuation map generation. In this work, a deep learning convolutional neural network-based algorithm is proposed for the completion of MR images affected by body truncation or metal-induced artifacts. The core of the network utilizes dilated convolutions and residual connections to render an end-to-end 3D shape completion. The training of the network was performed using co-registered PET, CT and MR whole-body images of 15 patients. The evaluation of the proposed method was carried out on 10 patients with severe metal-induced artifacts and truncated MR images. Body contours from the corresponding non-attenuation corrected PET (non-AC PET) or CT images were segmented to estimate the amount of truncation in MR images. The estimated truncated volumes were later used as reference to assess the efficiency of the proposed method to recover the truncated or metal artifact affected areas. Moreover, the impact of the truncation compensation and metal-induced artifact reduction was investigated in the context of segmentation-based PET/MRI attenuation correction. The activity recovery in the affected areas was estimated before and after application of the shape completion method. The body truncation affected 11.1±2.3% of the body volume and consequently the MRI segmentation-based attenuation maps of 10 patients. After shape completion using the proposed method, the amount of truncated volume dropped to 0.7±0.2%. The SUV bias in the truncated area improved from -44.5±10% to -10.5±3% considering PET-CT AC as reference. Likewise, 8.5±1.9% of the head volume was affected by the metal-induced artifact leading to SUV bias of -59.5±11%. These were reduced to 0.3±0.1% and -23.5±9%, respectively, after shape completion. It was concluded that the proposed algorithm exhibited promising results towards the completion of MRI affected by truncation and metal-induced artifacts in whole-body PET/MRI.",1.0,2019,10.1109/NSS/MIC42101.2019.9059660,head
51,Three-dimensional shape completion using deep convolutional neural networks: Application to truncation compensation and metal artifact reduction in PET/MRI attenuation correction,H. Arabi; H. Zaidi,"Accurate attenuation correction (AC) of PET data is a prerequisite for quantitative PET/MR imaging. However, MR images are susceptible to metal artifacts leading to void MR signal around metallic implants. Moreover, for large patients, exceeding the scanner's field-of-view (FOV), MR images of the body will be truncated, mostly in the arms, thus hampering the accurate delineation of the body contour. Both metal-induced artifacts and body truncation affect PET AC by causing segmentation errors in MRI-based attenuation map generation. In this work, a deep learning convolutional neural network-based algorithm is proposed for the completion of MR images affected by body truncation or metal-induced artifacts. The core of the network utilizes dilated convolutions and residual connections to render an end-to-end 3D shape completion. The training of the network was performed using co-registered PET, CT and MR whole-body images of 15 patients. The evaluation of the proposed method was carried out on 10 patients with severe metal-induced artifacts and truncated MR images. Body contours from the corresponding non-attenuation corrected PET (non-AC PET) or CT images were segmented to estimate the amount of truncation in MR images. The estimated truncated volumes were later used as reference to assess the efficiency of the proposed method to recover the truncated or metal artifact affected areas. Moreover, the impact of the truncation compensation and metal-induced artifact reduction was investigated in the context of segmentation-based PET/MRI attenuation correction. The activity recovery in the affected areas was estimated before and after application of the shape completion method. The body truncation affected 11.1±2.3% of the body volume and consequently the MRI segmentation-based attenuation maps of 10 patients. After shape completion using the proposed method, the amount of truncated volume dropped to 0.7±0.2%. The SUV bias in the truncated area improved from -44.5±10% to -10.5±3% considering PET-CT AC as reference. Likewise, 8.5±1.9% of the head volume was affected by the metal-induced artifact leading to SUV bias of -59.5±11%. These were reduced to 0.3±0.1% and -23.5±9%, respectively, after shape completion. It was concluded that the proposed algorithm exhibited promising results towards the completion of MRI affected by truncation and metal-induced artifacts in whole-body PET/MRI.",1.0,2019,10.1109/NSS/MIC42101.2019.9059660,attenuation
52,Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification From CT Images,S. Hu; Y. Gao; Z. Niu; Y. Jiang; L. Li; X. Xiao; M. Wang; E. F. Fang; W. Menpes-Smith; J. Xia; H. Ye; G. Yang,"An outbreak of a novel coronavirus disease (i.e., COVID-19) has been recorded in Wuhan, China since late December 2019, which subsequently became pandemic around the world. Although COVID-19 is an acutely treated disease, it can also be fatal with a risk of fatality of 4.03% in China and the highest of 13.04% in Algeria and 12.67% Italy (as of 8th April 2020). The onset of serious illness may result in death as a consequence of substantial alveolar damage and progressive respiratory failure. Although laboratory testing, e.g., using reverse transcription polymerase chain reaction (RT-PCR), is the golden standard for clinical diagnosis, the tests may produce false negatives. Moreover, under the pandemic situation, shortage of RT-PCR testing resources may also delay the following clinical decision and treatment. Under such circumstances, chest CT imaging has become a valuable tool for both diagnosis and prognosis of COVID-19 patients. In this study, we propose a weakly supervised deep learning strategy for detecting and classifying COVID-19 infection from CT images. The proposed method can minimise the requirements of manual labelling of CT images but still be able to obtain accurate infection detection and distinguish COVID-19 from non-COVID-19 cases. Based on the promising results obtained qualitatively and quantitatively, we can envisage a wide deployment of our developed technique in large-scale clinical studies.",131.0,2020,10.1109/ACCESS.2020.3005510,weakly supervision
52,Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification From CT Images,S. Hu; Y. Gao; Z. Niu; Y. Jiang; L. Li; X. Xiao; M. Wang; E. F. Fang; W. Menpes-Smith; J. Xia; H. Ye; G. Yang,"An outbreak of a novel coronavirus disease (i.e., COVID-19) has been recorded in Wuhan, China since late December 2019, which subsequently became pandemic around the world. Although COVID-19 is an acutely treated disease, it can also be fatal with a risk of fatality of 4.03% in China and the highest of 13.04% in Algeria and 12.67% Italy (as of 8th April 2020). The onset of serious illness may result in death as a consequence of substantial alveolar damage and progressive respiratory failure. Although laboratory testing, e.g., using reverse transcription polymerase chain reaction (RT-PCR), is the golden standard for clinical diagnosis, the tests may produce false negatives. Moreover, under the pandemic situation, shortage of RT-PCR testing resources may also delay the following clinical decision and treatment. Under such circumstances, chest CT imaging has become a valuable tool for both diagnosis and prognosis of COVID-19 patients. In this study, we propose a weakly supervised deep learning strategy for detecting and classifying COVID-19 infection from CT images. The proposed method can minimise the requirements of manual labelling of CT images but still be able to obtain accurate infection detection and distinguish COVID-19 from non-COVID-19 cases. Based on the promising results obtained qualitatively and quantitatively, we can envisage a wide deployment of our developed technique in large-scale clinical studies.",131.0,2020,10.1109/ACCESS.2020.3005510,convolutional neural network
52,Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification From CT Images,S. Hu; Y. Gao; Z. Niu; Y. Jiang; L. Li; X. Xiao; M. Wang; E. F. Fang; W. Menpes-Smith; J. Xia; H. Ye; G. Yang,"An outbreak of a novel coronavirus disease (i.e., COVID-19) has been recorded in Wuhan, China since late December 2019, which subsequently became pandemic around the world. Although COVID-19 is an acutely treated disease, it can also be fatal with a risk of fatality of 4.03% in China and the highest of 13.04% in Algeria and 12.67% Italy (as of 8th April 2020). The onset of serious illness may result in death as a consequence of substantial alveolar damage and progressive respiratory failure. Although laboratory testing, e.g., using reverse transcription polymerase chain reaction (RT-PCR), is the golden standard for clinical diagnosis, the tests may produce false negatives. Moreover, under the pandemic situation, shortage of RT-PCR testing resources may also delay the following clinical decision and treatment. Under such circumstances, chest CT imaging has become a valuable tool for both diagnosis and prognosis of COVID-19 patients. In this study, we propose a weakly supervised deep learning strategy for detecting and classifying COVID-19 infection from CT images. The proposed method can minimise the requirements of manual labelling of CT images but still be able to obtain accurate infection detection and distinguish COVID-19 from non-COVID-19 cases. Based on the promising results obtained qualitatively and quantitatively, we can envisage a wide deployment of our developed technique in large-scale clinical studies.",131.0,2020,10.1109/ACCESS.2020.3005510,covid-19
52,Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification From CT Images,S. Hu; Y. Gao; Z. Niu; Y. Jiang; L. Li; X. Xiao; M. Wang; E. F. Fang; W. Menpes-Smith; J. Xia; H. Ye; G. Yang,"An outbreak of a novel coronavirus disease (i.e., COVID-19) has been recorded in Wuhan, China since late December 2019, which subsequently became pandemic around the world. Although COVID-19 is an acutely treated disease, it can also be fatal with a risk of fatality of 4.03% in China and the highest of 13.04% in Algeria and 12.67% Italy (as of 8th April 2020). The onset of serious illness may result in death as a consequence of substantial alveolar damage and progressive respiratory failure. Although laboratory testing, e.g., using reverse transcription polymerase chain reaction (RT-PCR), is the golden standard for clinical diagnosis, the tests may produce false negatives. Moreover, under the pandemic situation, shortage of RT-PCR testing resources may also delay the following clinical decision and treatment. Under such circumstances, chest CT imaging has become a valuable tool for both diagnosis and prognosis of COVID-19 patients. In this study, we propose a weakly supervised deep learning strategy for detecting and classifying COVID-19 infection from CT images. The proposed method can minimise the requirements of manual labelling of CT images but still be able to obtain accurate infection detection and distinguish COVID-19 from non-COVID-19 cases. Based on the promising results obtained qualitatively and quantitatively, we can envisage a wide deployment of our developed technique in large-scale clinical studies.",131.0,2020,10.1109/ACCESS.2020.3005510,hospitals
52,Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification From CT Images,S. Hu; Y. Gao; Z. Niu; Y. Jiang; L. Li; X. Xiao; M. Wang; E. F. Fang; W. Menpes-Smith; J. Xia; H. Ye; G. Yang,"An outbreak of a novel coronavirus disease (i.e., COVID-19) has been recorded in Wuhan, China since late December 2019, which subsequently became pandemic around the world. Although COVID-19 is an acutely treated disease, it can also be fatal with a risk of fatality of 4.03% in China and the highest of 13.04% in Algeria and 12.67% Italy (as of 8th April 2020). The onset of serious illness may result in death as a consequence of substantial alveolar damage and progressive respiratory failure. Although laboratory testing, e.g., using reverse transcription polymerase chain reaction (RT-PCR), is the golden standard for clinical diagnosis, the tests may produce false negatives. Moreover, under the pandemic situation, shortage of RT-PCR testing resources may also delay the following clinical decision and treatment. Under such circumstances, chest CT imaging has become a valuable tool for both diagnosis and prognosis of COVID-19 patients. In this study, we propose a weakly supervised deep learning strategy for detecting and classifying COVID-19 infection from CT images. The proposed method can minimise the requirements of manual labelling of CT images but still be able to obtain accurate infection detection and distinguish COVID-19 from non-COVID-19 cases. Based on the promising results obtained qualitatively and quantitatively, we can envisage a wide deployment of our developed technique in large-scale clinical studies.",131.0,2020,10.1109/ACCESS.2020.3005510,lung
53,Fast Dynamic Brain PET Imaging Using a Generative Adversarial Network,A. Sanaat; E. Mirsadeghi; B. Razeghi; N. Ginovart; H. Zaidi,"This work aims to present and evaluate a novel recurrent deep learning model for reduction of the acquisition time in dynamic brain PET imaging without forfeiting clinical information. The clinical dataset included 46 dynamic <sup>18</sup>F-DOPA brain PET/CT images used to evaluate a model for generation of complete dynamic PET images from 27% of the total acquisition time. The dataset was split into 35, 6, and 5 for training, validation, and test, respectively. Each dynamic PET scan lasts 90 minutes acquired in list-mode format used to reconstruct 26 dynamic frames). A video prediction deep learning algorithm consisted of two generative adversarial networks and one variational autoencoder was developed and optimized to depict the tracer variation trend from the initial 13 frames (0 to 25 min) and synthesize the last 13 frames (25 to 90 min), respectively. The generated image was analyzed quantitatively by calculating standard metrics, such as the peak signal-to-noise ratio (PSNR), structural similarity index metric (SSIM), and time-activity curve (TAC). The PSNR and SSIM varied from 43.24 ± 0.4 to 38.82 ± 0.74 and from 0.98±0.03 to 0.81±0.09 for synthesized frames (14 to 26), respectively. The TAC trend showed that our model is able to predict images with similar tracer distribution compared to reference images. We demonstrated that the proposed method can generate the last 65 min time frames from the initial 25 min frames in dynamic PET imaging, thus reducing the total scanning time.",,2020,10.1109/NSS/MIC42677.2020.9507894,brain modeling
53,Fast Dynamic Brain PET Imaging Using a Generative Adversarial Network,A. Sanaat; E. Mirsadeghi; B. Razeghi; N. Ginovart; H. Zaidi,"This work aims to present and evaluate a novel recurrent deep learning model for reduction of the acquisition time in dynamic brain PET imaging without forfeiting clinical information. The clinical dataset included 46 dynamic <sup>18</sup>F-DOPA brain PET/CT images used to evaluate a model for generation of complete dynamic PET images from 27% of the total acquisition time. The dataset was split into 35, 6, and 5 for training, validation, and test, respectively. Each dynamic PET scan lasts 90 minutes acquired in list-mode format used to reconstruct 26 dynamic frames). A video prediction deep learning algorithm consisted of two generative adversarial networks and one variational autoencoder was developed and optimized to depict the tracer variation trend from the initial 13 frames (0 to 25 min) and synthesize the last 13 frames (25 to 90 min), respectively. The generated image was analyzed quantitatively by calculating standard metrics, such as the peak signal-to-noise ratio (PSNR), structural similarity index metric (SSIM), and time-activity curve (TAC). The PSNR and SSIM varied from 43.24 ± 0.4 to 38.82 ± 0.74 and from 0.98±0.03 to 0.81±0.09 for synthesized frames (14 to 26), respectively. The TAC trend showed that our model is able to predict images with similar tracer distribution compared to reference images. We demonstrated that the proposed method can generate the last 65 min time frames from the initial 25 min frames in dynamic PET imaging, thus reducing the total scanning time.",,2020,10.1109/NSS/MIC42677.2020.9507894,measurement
53,Fast Dynamic Brain PET Imaging Using a Generative Adversarial Network,A. Sanaat; E. Mirsadeghi; B. Razeghi; N. Ginovart; H. Zaidi,"This work aims to present and evaluate a novel recurrent deep learning model for reduction of the acquisition time in dynamic brain PET imaging without forfeiting clinical information. The clinical dataset included 46 dynamic <sup>18</sup>F-DOPA brain PET/CT images used to evaluate a model for generation of complete dynamic PET images from 27% of the total acquisition time. The dataset was split into 35, 6, and 5 for training, validation, and test, respectively. Each dynamic PET scan lasts 90 minutes acquired in list-mode format used to reconstruct 26 dynamic frames). A video prediction deep learning algorithm consisted of two generative adversarial networks and one variational autoencoder was developed and optimized to depict the tracer variation trend from the initial 13 frames (0 to 25 min) and synthesize the last 13 frames (25 to 90 min), respectively. The generated image was analyzed quantitatively by calculating standard metrics, such as the peak signal-to-noise ratio (PSNR), structural similarity index metric (SSIM), and time-activity curve (TAC). The PSNR and SSIM varied from 43.24 ± 0.4 to 38.82 ± 0.74 and from 0.98±0.03 to 0.81±0.09 for synthesized frames (14 to 26), respectively. The TAC trend showed that our model is able to predict images with similar tracer distribution compared to reference images. We demonstrated that the proposed method can generate the last 65 min time frames from the initial 25 min frames in dynamic PET imaging, thus reducing the total scanning time.",,2020,10.1109/NSS/MIC42677.2020.9507894,psnr
53,Fast Dynamic Brain PET Imaging Using a Generative Adversarial Network,A. Sanaat; E. Mirsadeghi; B. Razeghi; N. Ginovart; H. Zaidi,"This work aims to present and evaluate a novel recurrent deep learning model for reduction of the acquisition time in dynamic brain PET imaging without forfeiting clinical information. The clinical dataset included 46 dynamic <sup>18</sup>F-DOPA brain PET/CT images used to evaluate a model for generation of complete dynamic PET images from 27% of the total acquisition time. The dataset was split into 35, 6, and 5 for training, validation, and test, respectively. Each dynamic PET scan lasts 90 minutes acquired in list-mode format used to reconstruct 26 dynamic frames). A video prediction deep learning algorithm consisted of two generative adversarial networks and one variational autoencoder was developed and optimized to depict the tracer variation trend from the initial 13 frames (0 to 25 min) and synthesize the last 13 frames (25 to 90 min), respectively. The generated image was analyzed quantitatively by calculating standard metrics, such as the peak signal-to-noise ratio (PSNR), structural similarity index metric (SSIM), and time-activity curve (TAC). The PSNR and SSIM varied from 43.24 ± 0.4 to 38.82 ± 0.74 and from 0.98±0.03 to 0.81±0.09 for synthesized frames (14 to 26), respectively. The TAC trend showed that our model is able to predict images with similar tracer distribution compared to reference images. We demonstrated that the proposed method can generate the last 65 min time frames from the initial 25 min frames in dynamic PET imaging, thus reducing the total scanning time.",,2020,10.1109/NSS/MIC42677.2020.9507894,predictive models
53,Fast Dynamic Brain PET Imaging Using a Generative Adversarial Network,A. Sanaat; E. Mirsadeghi; B. Razeghi; N. Ginovart; H. Zaidi,"This work aims to present and evaluate a novel recurrent deep learning model for reduction of the acquisition time in dynamic brain PET imaging without forfeiting clinical information. The clinical dataset included 46 dynamic <sup>18</sup>F-DOPA brain PET/CT images used to evaluate a model for generation of complete dynamic PET images from 27% of the total acquisition time. The dataset was split into 35, 6, and 5 for training, validation, and test, respectively. Each dynamic PET scan lasts 90 minutes acquired in list-mode format used to reconstruct 26 dynamic frames). A video prediction deep learning algorithm consisted of two generative adversarial networks and one variational autoencoder was developed and optimized to depict the tracer variation trend from the initial 13 frames (0 to 25 min) and synthesize the last 13 frames (25 to 90 min), respectively. The generated image was analyzed quantitatively by calculating standard metrics, such as the peak signal-to-noise ratio (PSNR), structural similarity index metric (SSIM), and time-activity curve (TAC). The PSNR and SSIM varied from 43.24 ± 0.4 to 38.82 ± 0.74 and from 0.98±0.03 to 0.81±0.09 for synthesized frames (14 to 26), respectively. The TAC trend showed that our model is able to predict images with similar tracer distribution compared to reference images. We demonstrated that the proposed method can generate the last 65 min time frames from the initial 25 min frames in dynamic PET imaging, thus reducing the total scanning time.",,2020,10.1109/NSS/MIC42677.2020.9507894,market research
54,Coarse-to-Fine Adversarial Networks and Zone-Based Uncertainty Analysis for NK/T-Cell Lymphoma Segmentation in CT/PET Images,X. Hu; R. Guo; J. Chen; H. Li; D. Waldmannstetter; Y. Zhao; B. Li; K. Shi; B. Menze,"Extranodal natural killer/T cell lymphoma (ENKL), nasal type is a kind of rare disease with a low survival rate that primarily affects Asian and South American populations. Segmentation of ENKL lesions is crucial for clinical decision support and treatment planning. This paper is the first study on computer-aided diagnosis systems for the ENKL segmentation problem. We propose an automatic, coarse-to-fine approach for ENKL segmentation using adversarial networks. In the coarse stage, we extract the region of interest bounding the lesions utilizing a segmentation neural network. In the fine stage, we use an adversarial segmentation network and further introduce a multi-scale L<sub>1</sub> loss function to drive the network to learn both global and local features. The generator and discriminator are alternately trained by backpropagation in an adversarial fashion in a min-max game. Furthermore, we present the first exploration of zone-based uncertainty estimates based on Monte Carlo dropout technique in the context of deep networks for medical image segmentation. Specifically, we propose the uncertainty criteria based on the lesion and the background, and then linearly normalize them to a specific interval. This is not only the crucial criterion for evaluating the superiority of the algorithm, but also permits subsequent optimization by engineers and revision by clinicians after quantitatively understanding the main source of uncertainty from the background or the lesion zone. Experimental results demonstrate that the proposed method is more effective and lesion-zone stable than state-of-the-art deep-learning based segmentation model.",8.0,2020,10.1109/JBHI.2020.2972694,diseases
